w2m1p2	830752p_all	830750p_all	830748p_all	830749p_all	830747p_all	830751p_all	830746p_all
w1p4m3	862617p_all	862612p_all	862616p_all	862611p_all	862615p_all	862613p_all	862614p_all
w4m2p2	995281p_all	995150p_all	995153p_all	995152p_all	995154p_all	995151p_all	995282p_all
w1m3p1	880089p_all	880087p_all	880090p_all	880093p_all	880092p_all	880088p_all	880091p_all
w3m2p3	845481p_all	845484p_all	845485p_all	845483p_all	845487p_all	845486p_all	845482p_all
w2m0p3	784774p_all	784773p_all	784778p_all	784777p_all	784776p_all	784775p_all	784772p_all
w3m3p3	845235p_all	845234p_all	845232p_all	845237p_all	845231p_all	845233p_all	845236p_all
w1m0p3	762394p_all	762391p_all	762390p_all	762392p_all	762393p_all	762396p_all	762395p_all
w3p1p2	797645p_all	797649p_all	797646p_all	797648p_all	797643p_all	797642p_all	797651p_all	797650p_all	797647p_all
w1m2p2	820497p_all	820496p_all	820494p_all	820495p_all	820499p_all	820498p_all	820493p_all
w1m1m2	831273p_all	831272p_all	831271p_all	831270p_all	831275p_all	831276p_all	831274p_all
w3m3p1	797376p_all	797380p_all	797374p_all	797375p_all	797377p_all	797378p_all	797379p_all
w1m4p2	881256p_all	881257p_all	881258p_all	881255p_all	881260p_all	881254p_all	881259p_all
w4m0m2	862602p_all	862597p_all	862603p_all	862599p_all	862601p_all	862600p_all	862598p_all
w2p1m0	831438p_all	831434p_all	831433p_all	831437p_all	831435p_all	831439p_all	831436p_all
w3m1p1	796986p_all	796985p_all	796988p_all	796982p_all	796983p_all	796987p_all	796984p_all
w1m2m2	827412p_all	827414p_all	827409p_all	827413p_all	827411p_all	827415p_all
w3m0m0	705245p_all	705247p_all	705243p_all	705244p_all	705246p_all	705250p_all	705249p_all	705248p_all
w2m1m1	832217p_all	832215p_all	832216p_all	832214p_all	832213p_all	832219p_all	832218p_all
w4m1m2	862703p_all	862697p_all	862702p_all	862701p_all	862700p_all	862699p_all	862698p_all
w1p1p1	761480p_all	761478p_all	761481p_all	761476p_all	761479p_all	761475p_all	761477p_all
w1p4p3	720022p_all	720024p_all	720021p_all	720026p_all	720023p_all	720027p_all	720025p_all
w4p1p1	863256p_all	863254p_all	863258p_all	863253p_all	863255p_all	863259p_all	863257p_all
w3p2m2	975012p_all	975011p_all
w4m3p1	918271p_all	918270p_all	918268p_all	918272p_all	918273p_all	918269p_all
w3m1m0	792618p_all	792620p_all	792621p_all	792623p_all	792619p_all	792622p_all
w3m1p2	845105p_all	845110p_all	845111p_all	845108p_all	845109p_all	845107p_all	845106p_all
w3m1p3	845494p_all	845495p_all	845492p_all	845497p_all	845496p_all	845493p_all	845491p_all
w1p2p2	727467p_all	727471p_all	727470p_all	727469p_all	727472p_all	727468p_all	727466p_all
w4p1m2	859680p_all	859678p_all	859675p_all	859679p_all	859676p_all	859681p_all	859677p_all
w1m2m3	875627p_all	875622p_all	875625p_all	875626p_all	875624p_all	875621p_all	875623p_all
