5.017318813576084058e-02 1.067511232265567571e+02 1.690118864061001602e+01
7.874562151399790155e-02 6.566391178344603929e+01 9.700649757765333447e+00
1.249390252113048577e-01 3.210379810954594859e+01 6.121799864968956228e+00
1.971566003139844647e-01 1.555220648668792371e+01 3.835957956956074000e+00
3.111175630002518955e-01 1.786601161120274028e+01 2.451881709772070650e+00
4.909505329928844364e-01 1.040040961474371350e+01 1.536471530094850380e+00
7.747310165379579505e-01 6.759983201426226884e+00 9.277212805319337008e-01
1.222543021446595324e+00 5.183812683704116964e+00 6.575073651982776823e-01
1.929200467494827098e+00 2.376559697402948590e+00 4.016682570379437323e-01
3.027834097903329802e+00 1.488955606247734487e+00 2.516709400783905259e-01
4.804008571147614148e+00 1.110764655057207229e+00 1.758599104442366556e-01
7.580833900095175437e+00 4.237739395610661819e-01 1.045240118693985809e-01
1.196272691226766938e+01 4.481935359152944276e-01 6.621245060676939076e-02
